date,jp_covid,jp_retail,jp_grocery,jp_park,jp_station,jp_residential,jp_workplace,jp_transit,jp_driving,jp_walking
2020/2/15,4,-1,4,7,1,0,4,128.41,131.54,138.76
2020/2/16,1,-9,-6,-35,-10,2,-2,114.64,114.42,119.97
2020/2/17,6,-2,1,-5,-1,1,0,112.88,111.43,122.2
2020/2/18,8,1,2,1,-2,1,0,112.02,111.19,122.62
2020/2/19,9,0,2,8,-3,0,0,112.54,112.58,124.25
2020/2/20,8,1,4,4,-3,0,0,116.33,116.79,127
2020/2/21,13,-1,2,7,-2,1,0,134.17,140.56,145.9
2020/2/22,23,-5,1,-10,-3,2,-1,146.81,161.69,163.51
2020/2/23,10,1,3,16,2,0,0,130.41,142.83,145.52
2020/2/24,16,18,4,54,-27,14,-55,112.61,116.21,121.18
2020/2/25,8,0,7,0,-2,1,1,104.56,107.01,112.83
2020/2/26,22,-4,3,-5,-5,1,1,102.38,107.46,111.53
2020/2/27,24,-3,6,-4,-7,1,0,97.64,103.29,104.84
2020/2/28,19,-2,14,-4,-10,2,1,102.82,112.22,112.22
2020/2/29,9,-10,9,-22,-21,4,3,104.61,114.58,116.77
2020/3/1,14,-10,9,-1,-23,4,1,98.18,103.92,101.49
2020/3/2,14,-10,3,-15,-15,4,-2,100.79,105.91,113.27
2020/3/3,22,-2,9,11,-15,4,-2,97.95,103.24,103.49
2020/3/4,34,-12,-2,-21,-19,5,-4,100.36,106.01,109.96
2020/3/5,33,-9,3,-8,-18,4,-4,104.22,110.8,117.33
2020/3/6,54,-9,2,5,-18,5,-4,109.49,122.87,121.2
2020/3/7,44,-12,2,-8,-24,5,-4,101.58,115.69,102.85
2020/3/8,35,-17,-4,-35,-31,6,-5,106,113.65,118.47
2020/3/9,27,-7,2,11,-15,4,-3,102.41,108.76,108.01
2020/3/10,60,-9,-3,-28,-18,6,-5,109.49,116.12,126.08
2020/3/11,52,-3,4,13,-16,3,-4,111.98,117.83,132.61
2020/3/12,55,-3,5,16,-15,3,-4,110.47,115.47,130.25
2020/3/13,34,-5,3,10,-17,5,-4,108.61,123.4,112.95
2020/3/14,62,-14,-4,-39,-27,7,-7,113.41,133.14,124.7
2020/3/15,29,-7,5,9,-21,3,-3,110.5,120.19,122.39
2020/3/16,16,-7,0,-7,-15,4,-3,112.5,119.97,129.51
2020/3/17,45,-1,4,14,-15,4,-4,115.65,123.25,136.79
2020/3/18,39,-3,3,20,-14,3,-4,118.04,127.56,138.72
2020/3/19,39,4,6,17,-10,2,-4,127.64,152.83,142.88
2020/3/20,52,7,6,40,-34,17,-54,131.95,161.59,149.4
2020/3/21,35,-6,5,34,-15,3,-7,123.18,148.75,140.39
2020/3/22,45,-9,1,18,-18,3,-3,116.13,127.72,133.79
2020/3/23,39,-4,0,11,-13,3,-3,116.35,124.82,134.98
2020/3/24,89,0,3,14,-13,4,-4,118.84,128.24,141.1
2020/3/25,93,2,8,31,-11,2,-4,117.95,128.82,142
2020/3/26,93,0,13,26,-13,3,-5,109.55,121.43,123.41
2020/3/27,96,-10,3,-9,-19,6,-7,102.47,122.59,105.55
2020/3/28,222,-18,1,-23,-33,7,-8,91.71,111.03,84.38
2020/3/29,151,-26,-7,-25,-41,7,-9,99.29,111.53,105.3
2020/3/30,80,-7,4,-2,-20,5,-8,95.23,105.3,105.72
2020/3/31,227,-4,7,9,-20,5,-7,93.59,97.79,94.47
