date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/2/15,93.51,135.91,123.46,125.71,135.66,104.27,156.51,138.63,126.61,128,136.51,145.29,131.54,89.15,148.02,104.1,103.9,128.46,100.02,77.05,119.69,151.96,139.42,137.92,135.71,109.55,132.51
2020/2/16,98.27,110.6,92.31,103.84,120.36,98.93,132.21,117.3,96.71,109.63,123.27,132.32,114.42,74.07,103.95,90.25,107.75,120.93,91.69,73,112.7,130.41,131.24,112.08,109.23,101.42,102.27
2020/2/17,101.79,115.29,95.54,95.14,115.34,102.21,121.16,108.23,100.32,108,129.51,110.43,111.43,89.04,104.15,103.31,110.15,113.44,86.92,77.12,104.5,114.74,108.78,108.35,105.89,118.6,110.78
2020/2/18,105.38,120.26,99.59,111.82,116.58,107.19,120.55,111.13,100.83,109.42,133.33,112.72,111.19,91.02,103.08,105.4,112.45,111.35,88.97,77.77,107.99,118.75,110.86,107.76,109.03,119.26,109.46
2020/2/19,107.29,121.9,102.06,113.99,119.7,110.27,126.22,115.39,102.03,110.81,137.54,118.28,112.58,87.1,104.29,107.01,115.93,119.43,86.9,79.39,111.44,121.59,116.62,108.75,111.44,121.56,110.85
2020/2/20,113.37,123.29,109.38,119.01,120.49,112.79,134.37,116.04,104.31,108.14,142.65,120.67,116.79,88.19,109.57,108.99,127.27,122.75,90.84,83.23,112.03,126.22,119.94,111.07,114.37,118.33,114.86
2020/2/21,118.25,133.24,141.63,136.41,137.04,118.37,150.88,134.8,118.42,125.52,157.03,135.58,140.56,100.62,135.59,112.11,116.53,131.05,108.61,92.76,122.63,150.25,127.9,127.62,136.57,127.35,135.85
2020/2/22,97.6,123.59,140.3,128.05,130.49,109.78,141.36,141.73,127.73,119.65,141.99,139.43,161.69,82.6,146.51,96.06,105.16,123.29,102,81.13,107.5,150.06,140.44,136.17,137.99,115.64,134.35
2020/2/23,97.5,105.29,103.13,98.89,116.86,103.25,122.6,122.31,97.72,99.22,120.65,114.78,142.83,72.98,104.9,82.67,103.24,139.77,93.46,76.11,106.68,131.06,135.95,108.61,122.26,101.34,99.48
2020/2/24,102.7,116.44,102.5,102.34,114.4,103.9,121.06,111.17,99.66,102.49,113.98,98.2,116.21,92.77,101.38,98,108.05,105.9,95.18,78.15,103.01,122.17,109.91,106.53,99.29,108.75,106.23
2020/2/25,104.46,116.56,99.46,107.2,116.85,110.44,127.19,111.63,99.4,105.39,114.18,92.5,107.01,94.01,99.87,97.72,110.38,105.34,86.95,79.54,105.1,118.88,113.16,106.25,90.66,108.16,110.27
2020/2/26,106.23,118.01,92.81,104.04,115.37,110.13,123.42,115.06,100.49,104.39,120.71,89.15,107.46,91.08,100.1,100.9,112.87,110.26,83.34,81.05,106.02,119.43,114.81,107.91,102.39,109.74,112.36
2020/2/27,113.6,117.4,91.16,105.22,118,112.25,123.3,116.1,99.76,110.47,126.33,90.16,103.29,137.89,103.94,104.21,120.26,108.6,84.11,83.14,105.13,131.03,119.45,106.6,150.75,109.6,118.85
