date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/2/15,-2,29,-5,10,37,-4,-8,-11,23,45,-36,35,7,40,6,11,0,26,-1,-10,41,26,3,31,-2,-35,15
2020/2/16,9,-30,-13,41,28,-33,-17,-24,9,9,-29,26,-35,18,7,-31,-11,-34,-2,-18,25,13,-30,30,-21,-28,16
2020/2/17,-6,8,-12,63,17,0,-3,10,16,7,12,7,-5,-1,3,8,-5,13,-3,-7,43,9,-3,-3,-14,24,28
2020/2/18,-13,18,-11,6,22,9,3,22,36,10,12,16,1,1,3,21,1,15,-3,-7,45,5,13,34,-3,20,6
2020/2/19,-6,13,-5,9,6,12,15,34,18,6,-5,11,8,-4,2,20,0,49,-4,-6,29,11,26,-11,8,8,8
2020/2/20,5,4,2,14,16,-3,22,30,29,14,12,18,4,-7,2,-5,-3,-4,-5,-10,31,15,-1,46,-4,4,4
2020/2/21,-1,15,1,10,4,15,-5,0,28,15,-1,19,7,11,-1,22,-5,12,-8,-14,14,20,22,26,6,10,4
2020/2/22,10,0,12,28,30,-24,-30,-23,31,26,-4,30,-10,32,7,-2,-12,9,-1,-5,30,44,-10,57,3,-7,23
2020/2/23,9,-27,32,36,-17,-9,33,32,30,-24,1,23,16,-13,8,-26,-10,0,0,-3,-22,33,23,27,24,-5,23
2020/2/24,-10,7,69,19,13,12,155,24,45,17,3,22,54,12,6,4,-1,21,6,-12,17,36,24,74,6,-9,9
2020/2/25,-8,29,51,9,13,-4,27,45,23,15,6,20,0,14,7,35,7,13,11,-2,34,17,8,17,4,3,9
2020/2/26,-5,-4,-8,1,10,1,8,40,9,0,9,-6,-5,-3,3,9,2,23,0,-4,6,11,4,-20,3,6,5
2020/2/27,-2,-15,-11,-6,9,21,12,37,1,-3,15,-1,-4,4,0,-9,-6,14,-4,-5,14,16,10,-22,-9,8,12
2020/2/28,0,3,-17,-5,0,23,12,37,15,9,0,11,-4,17,3,11,-4,20,-6,-8,-3,33,16,16,65,-13,10
2020/2/29,18,-7,-23,11,0,-17,15,28,-12,9,-28,2,-22,5,5,-6,-2,2,-1,-2,5,19,8,-14,31,-14,21
2020/3/1,20,-2,-34,23,29,-5,-4,-6,-13,21,-5,-30,-1,-4,7,2,-1,-30,0,-1,-18,6,-7,29,21,14,18
2020/3/2,-1,-12,-25,1,18,28,13,15,-9,9,12,-26,-15,0,2,-12,-10,4,-2,-7,13,-7,10,-24,-10,14,10
2020/3/3,-14,11,-21,8,-9,9,-3,14,8,8,29,-9,11,6,2,20,-6,6,-2,-3,-3,-3,5,7,-2,11,20
2020/3/4,-15,7,-11,11,17,16,-7,12,1,14,25,8,-21,-2,2,21,-17,9,-1,-7,2,9,-2,8,-14,2,17
2020/3/5,-19,-16,-5,18,21,30,3,8,-15,0,15,-12,-8,-7,3,-11,-15,26,-3,-13,23,2,8,-36,-30,1,21
2020/3/6,-6,2,-7,6,2,11,22,27,-1,-11,10,-8,5,3,0,10,-9,18,-9,-8,-8,0,24,-12,-1,22,12
2020/3/7,10,33,-14,17,-6,47,18,28,7,19,-1,2,-8,44,4,39,2,29,-1,-16,-2,17,36,-3,9,7,29
2020/3/8,14,-21,-17,50,45,-7,91,41,-1,31,0,1,-35,7,10,-5,-6,-37,-2,-7,18,19,0,47,26,15,40
2020/3/9,5,6,-12,31,8,14,17,5,2,7,-13,-24,11,9,-8,6,-18,11,-1,-9,15,12,8,-17,-3,4,31
2020/3/10,-11,-5,-11,-2,6,-6,-1,-7,1,-13,15,-32,-28,-4,2,-6,-11,-4,-5,-4,26,12,3,-26,-29,4,18
2020/3/11,-2,-3,-6,12,-11,25,-10,1,17,17,-3,-32,13,-5,2,18,-14,10,-6,-9,-10,17,10,10,-4,10,26
2020/3/12,2,4,-5,11,12,-16,-5,0,5,4,-13,-61,16,2,3,-5,-15,-1,-8,-8,19,1,-17,-1,-15,5,19
2020/3/13,-8,-5,-8,-16,-2,2,-11,-1,4,-3,1,-64,10,3,3,-2,-12,3,-16,-9,-23,-22,-4,1,-21,12,4
2020/3/14,-15,0,-15,-8,21,86,-4,18,-1,33,-15,-78,-39,3,6,21,0,26,-20,-1,-29,-44,59,-6,-28,1,3
2020/3/15,-8,20,-21,28,37,-8,51,25,15,75,20,-81,9,51,6,15,-8,-50,-29,4,-18,-76,-15,66,31,-1,5
2020/3/16,-18,7,-23,15,-20,50,-21,11,-15,40,21,-67,-7,13,-7,33,-19,22,-18,1,-26,-72,11,14,0,29,-1
2020/3/17,-21,31,-28,7,-17,38,20,0,-40,31,67,-68,14,-6,-8,51,-22,10,-30,2,-12,-73,2,21,-3,6,8
2020/3/18,-15,7,-28,14,-1,11,-27,32,-53,44,14,-71,20,-35,-14,34,-22,18,-36,-3,3,-73,1,22,-11,-3,6
2020/3/19,-9,-19,-34,18,-11,104,52,45,-56,15,29,-74,17,-36,-16,3,-34,24,-39,-2,5,-77,40,19,-29,2,2
2020/3/20,-12,-50,-45,-8,-26,64,19,41,-66,-14,16,-77,40,-40,-22,-6,-37,31,-47,-6,-5,-79,11,-11,-5,6,-2
2020/3/21,-9,-34,-66,11,-62,85,13,42,-78,-31,-12,-85,34,-70,-32,24,-38,80,-52,-15,-71,-87,66,-29,4,2,-3
2020/3/22,-11,-20,-75,4,-39,49,75,77,-80,1,39,-91,18,-34,-37,15,-36,-8,-56,-18,-50,-89,57,-40,24,20,-12
2020/3/23,-27,-20,-61,-27,-27,54,27,33,-64,-5,7,-81,11,-48,-30,4,-50,-1,-45,-23,-45,-77,8,-19,-9,1,-23
2020/3/24,-30,-8,-62,-10,-17,61,12,36,-65,9,10,-80,14,-43,-33,25,-52,-8,-47,-9,-24,-79,22,-5,-5,-14,-10
2020/3/25,-33,-19,-57,1,-15,67,13,45,-67,11,13,-82,31,-50,-36,27,-52,0,-46,-13,-36,-78,25,-20,0,-12,-7
2020/3/26,-23,-25,-54,-18,-24,91,23,52,-67,3,15,-84,26,-46,-36,11,-77,29,-47,-15,-24,-78,48,-23,-10,-11,3
2020/3/27,-30,-27,-56,-10,2,96,8,46,-68,21,0,-82,-9,-39,-37,22,-80,16,-52,-24,-1,-80,43,-3,-11,-26,-7
2020/3/28,-34,-38,-64,-30,18,79,28,45,-76,33,-59,-86,-23,-28,-39,1,-80,29,-56,-15,-1,-86,52,18,-33,-54,-25
2020/3/29,-35,-66,-70,-16,-24,35,4,48,-82,-49,-59,-90,-25,-66,-46,-30,-78,-5,-59,-12,-9,-89,43,-41,17,-52,-19
2020/3/30,-35,-35,-55,-32,-20,53,-9,32,-66,-13,-37,-79,-2,-44,-36,-8,-73,37,-48,-16,-38,-80,8,-46,-13,-33,-15
2020/3/31,-35,-18,-53,-13,-28,70,-11,-2,-61,7,-22,-78,9,-44,-37,41,-66,23,-49,-10,-22,-82,27,1,-6,-21,-16
2020/4/1,-36,-18,-48,-10,0,13,4,38,-62,20,-31,-77,-29,-42,-39,16,-66,18,-48,-15,-11,-81,27,7,-10,-29,-7
2020/4/2,-42,-38,-48,-16,5,11,-15,14,-62,6,-38,-77,13,-39,-41,-4,-69,-7,-49,-22,-10,-81,-6,8,10,-24,-9
2020/4/3,-41,-38,-52,-33,-24,32,-40,0,-66,-13,-35,-78,26,-56,-43,1,-72,13,-54,-29,-12,-82,6,8,40,-25,-21
2020/4/4,-52,-30,-60,-17,-6,59,7,45,-73,21,-46,-84,26,-31,-46,13,-75,32,-57,-27,-7,-86,57,15,-7,-38,-24
2020/4/5,-43,-13,-66,-13,45,118,49,73,-73,61,-59,-90,3,-7,-52,41,-74,14,-60,-27,26,-90,69,42,-12,-29,-20
2020/4/6,-35,-19,-53,2,18,161,38,48,-61,49,-9,-76,15,-31,-41,30,-71,89,-48,-26,6,-79,92,21,-28,-20,-10
2020/4/7,-39,4,-50,-1,1,167,51,60,-61,50,6,-75,17,-27,-42,61,-67,104,-48,-37,34,-79,65,42,-18,-7,-2
