date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/2/15,4,3,5,4,13,-2,4,3,-2,6,-11,3,-1,-2,6,1,8,1,7,-14,11,2,2,-1,-9,-12,6
2020/2/16,3,-7,2,13,12,-7,6,-3,6,7,-6,3,-9,-7,7,-10,4,-5,3,-19,14,2,-10,10,-14,-7,7
2020/2/17,-1,1,-2,-12,4,-3,4,3,1,2,8,0,-2,-3,2,0,-2,2,-1,-12,8,0,-4,-3,-7,10,6
2020/2/18,-3,3,-3,-1,9,1,4,2,5,2,6,3,1,-3,0,5,-1,3,0,-13,6,-2,0,3,-7,7,0
2020/2/19,-1,3,-1,1,4,0,5,4,-4,3,2,0,0,-6,0,3,1,6,-3,-14,3,0,3,-4,-7,6,2
2020/2/20,0,-2,1,6,4,1,6,0,-2,2,8,2,1,-7,0,1,1,-1,-2,-14,5,1,1,2,-5,5,1
2020/2/21,3,0,2,2,2,1,1,1,-1,2,1,1,-1,-8,-2,8,4,1,-2,-11,-2,1,5,-1,-3,5,2
2020/2/22,5,-4,-3,8,9,-6,-7,-2,-6,-1,-2,-1,-5,-8,0,1,7,-3,1,-11,6,2,0,1,-8,-4,7
2020/2/23,3,-7,4,10,3,1,12,5,8,0,-3,-5,1,-8,2,1,5,-1,-3,-14,0,7,2,14,-4,-1,7
2020/2/24,-1,7,-14,3,3,-2,-22,5,3,2,1,-4,18,-2,-2,9,-1,1,1,-12,5,5,2,6,-3,-3,2
2020/2/25,-3,10,-31,2,6,-3,2,4,1,-1,-2,-6,0,-1,-2,16,-1,1,0,-10,5,-2,8,4,-8,-1,4
2020/2/26,-1,-1,-18,-2,3,-2,-1,5,-5,-3,-1,-13,-4,-4,-3,3,0,2,-3,-12,-1,0,5,-5,-10,1,7
2020/2/27,0,-2,-8,-8,3,2,0,3,-5,-5,4,-10,-3,-14,1,-1,0,1,-2,-12,3,4,7,-5,-3,2,8
2020/2/28,4,-1,-5,-1,0,17,-3,4,-1,3,3,-8,-2,1,3,2,4,1,-1,-8,-3,-1,7,-1,8,1,8
2020/2/29,6,-4,-3,7,1,10,-6,2,-7,-1,-12,-10,-10,-1,6,-3,6,-4,5,-8,10,-1,8,-6,-7,1,12
2020/3/1,4,0,-9,10,8,21,-2,-3,1,8,3,-19,-10,-3,6,3,1,-10,2,-11,-4,2,-1,3,-7,7,13
2020/3/2,0,-4,-6,3,0,11,1,3,-6,2,4,-13,-10,-3,1,-6,-4,-2,0,-8,2,-3,1,-7,-9,4,7
2020/3/3,-2,2,-5,4,0,10,0,2,-1,0,8,-7,-2,-2,1,2,-4,-1,1,-8,-2,-3,0,-1,-10,2,11
2020/3/4,0,1,-1,5,3,9,0,-1,-6,2,5,-7,-12,-4,1,2,-2,-3,-1,-11,-1,0,-2,-3,-15,2,8
2020/3/5,-2,-4,0,7,2,10,6,0,-8,-4,4,-12,-9,-5,2,-5,0,0,0,-12,2,-1,0,-11,-14,-1,8
2020/3/6,3,-1,6,1,0,7,8,3,-2,-3,3,-15,-9,-1,-1,1,4,-2,-3,-8,-4,-2,2,-6,-5,5,5
2020/3/7,3,5,9,6,0,10,10,3,-4,1,-3,-19,-12,2,1,2,7,-7,0,-10,-2,-1,5,-4,-5,0,10
2020/3/8,3,-1,8,9,13,11,29,7,0,12,0,-32,-17,0,3,-1,3,-11,-4,-11,5,4,1,6,-4,4,10
2020/3/9,-3,-1,1,4,0,5,5,-2,-5,-1,-3,-30,-7,-2,-11,-3,-6,-4,-3,-11,-1,-1,-2,-8,-9,0,6
2020/3/10,-2,-4,0,-1,3,3,4,-3,-5,-7,3,-43,-9,-6,-2,-7,-4,-5,-4,-11,-7,-3,-4,-10,-18,-2,6
2020/3/11,-1,-4,1,3,-6,5,2,-3,-6,-1,-3,-52,-3,-7,-1,-2,-3,-6,-8,-13,-13,-5,-4,-7,-9,0,8
2020/3/12,-1,-7,-2,7,-5,-11,1,-4,-8,-7,-3,-70,-3,-7,1,-9,-2,-6,-8,-13,-12,-13,-12,-11,-10,-1,6
2020/3/13,1,-8,0,-5,-20,-28,-13,-9,-8,-9,-19,-75,-5,-12,2,-12,2,-34,-12,-10,-38,-33,-13,-13,-13,-2,2
2020/3/14,-1,-70,-2,-11,-56,-31,-35,-22,-21,-17,-32,-83,-14,-30,2,-19,4,-47,-18,-11,-69,-69,-17,-25,-14,-10,-6
2020/3/15,-2,-66,-8,-12,-57,-33,-33,-24,-38,-12,-36,-90,-7,-29,0,-32,-1,-71,-40,-14,-74,-87,-25,-27,-2,-11,-9
2020/3/16,-1,-32,-11,-12,-61,-24,-34,-19,-43,-7,-26,-75,-7,-50,-11,-25,-7,-39,-34,-10,-65,-80,-19,-17,-7,-3,-8
2020/3/17,-5,-36,-19,-27,-65,-25,-40,-29,-68,-21,-59,-77,-1,-62,-7,-29,-9,-44,-57,-8,-71,-83,-24,-57,-10,-15,-18
2020/3/18,-7,-61,-25,-33,-65,-41,-45,-36,-83,-34,-46,-79,-3,-71,-13,-35,-8,-46,-66,-11,-70,-84,-26,-62,-15,-21,-24
2020/3/19,-10,-75,-36,-36,-67,-39,-40,-38,-82,-45,-48,-79,4,-77,-17,-41,-10,-44,-69,-13,-69,-88,-22,-65,-18,-21,-28
2020/3/20,-12,-79,-45,-44,-68,-44,-44,-38,-83,-50,-53,-80,7,-80,-23,-45,-13,-44,-73,-11,-71,-87,-24,-67,-8,-28,-32
2020/3/21,-17,-84,-63,-49,-79,-48,-50,-47,-88,-69,-59,-86,-6,-87,-31,-49,-17,-49,-75,-13,-82,-92,-26,-78,-10,-50,-40
2020/3/22,-18,-79,-72,-51,-77,-38,-43,-44,-86,-71,-59,-95,-9,-87,-37,-60,-25,-65,-79,-18,-80,-94,-26,-82,-8,-56,-44
2020/3/23,-17,-74,-65,-45,-64,-36,-40,-41,-81,-57,-49,-80,-4,-80,-31,-38,-12,-41,-75,-16,-69,-85,-25,-68,-12,-45,-38
