date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/2/15,98.78,142.1,109.7,92.72,129.78,112.56,122.03,106.41,117.34,125.2,125.93,130.72,128.41,96.14,106.37,131.35,108.84,121.68,91.34,67.16,110.33,126.58,118.27,103.01,105.55,119,107.77
2020/2/16,109.3,123.14,92.39,79.97,120.25,107.51,111.45,101.88,101.79,114.91,120.98,125.6,114.64,82.15,82.76,124.8,120.93,111.92,88.61,62.47,102.23,116.03,112.72,101.62,95.1,109.71,91.63
2020/2/17,111.03,134.04,119.12,80.63,132.3,105.58,135.19,104.08,118.54,157.64,126.48,119.01,112.88,106.05,99.33,124.77,120.34,115.37,85.04,64.09,117.77,129.21,109.38,113.43,99.95,119.36,101.73
2020/2/18,115.59,139.53,123.99,97.64,130.94,111.99,124.33,102.87,118.54,140.18,125.8,118,112.02,97.31,98.87,122.8,122.23,112.58,84.55,65.28,114.14,137.13,111.73,113.32,104.57,118.76,104.64
2020/2/19,114.53,141.82,121.93,98.13,132.73,114.15,128.38,108.97,116.32,132.15,129.93,120.44,112.54,94.29,99.54,120.26,115.45,111.39,84.49,65.97,109.86,136.61,111.12,111.45,101.05,121.93,105.16
2020/2/20,116.25,138.11,114.4,100.38,132.5,122.5,131.65,101.71,118.49,135.25,128.82,124.06,116.33,89.58,101.83,122.46,119.29,119.95,83.67,69.44,105.77,143.03,108.83,107.04,102.3,118.81,106.16
2020/2/21,120.68,137.78,113.62,110.64,127.66,130.37,136.75,109.29,125.78,145.98,146.81,126.36,134.17,94.88,118.52,124.53,116.72,119.96,91.19,79.72,112.47,157.63,112.67,111.03,110.32,126.56,117.14
2020/2/22,104.35,126.99,96.45,96.4,129.48,124.55,113.11,109.47,127.21,149.75,127.76,126.83,146.81,86.48,118.07,125.87,108.63,123,82.81,71.6,97.3,153.86,114.66,109.41,100.03,126.9,110.65
2020/2/23,115.32,118.46,79.83,78.72,115.25,106.04,103.17,102.06,108.53,127.86,111.69,113.18,130.41,85.59,89.77,113.82,118.46,114.14,86.92,64.17,112.47,129.1,109.64,97.7,98.5,105.46,87.27
2020/2/24,119.81,136.73,81.57,93.45,130.3,102.94,122.95,105.78,115.31,129.82,114.39,96.25,112.61,105.38,98.62,118.06,125.23,105.86,86.12,64.06,95.72,130.22,103.29,106.3,84.49,107.92,99.21
2020/2/25,118.98,135.58,78.26,94.4,134.87,104.58,148.39,104.75,115.9,128.68,112.05,81.28,104.56,97.1,97.37,112.27,119.64,103.2,85.2,65.47,109.49,125.4,103.16,105.79,76.64,108.13,100.12
2020/2/26,115.46,136.45,84.99,91.96,133.55,106.09,137.03,110.93,120.41,123.84,114.07,74.29,102.38,97.98,94.41,112.03,115.73,107.58,78.3,70.42,100.74,131.87,104.21,108.14,83.57,108.85,100.52
2020/2/27,119.34,137.36,100.15,94.2,133.47,104.81,140.98,106.48,121.51,128.01,121.67,74.11,97.64,109.37,101.61,117.38,118.41,106.18,79.57,71.92,101.49,144.73,104.68,108.12,104,108.32,102.98
2020/2/28,122.09,133.34,104.61,105.38,125.72,120.99,131.46,111.4,132.46,138.23,136.02,76.73,102.82,106.17,113.27,125.76,117.09,114.45,91.83,81.48,106.05,160.26,106.51,104.49,102.34,118.5,116.02
2020/2/29,107.23,114.62,89.78,99.36,116.89,120.91,112.47,106.69,132.41,140.56,129.29,76.34,104.61,104.49,103.91,116.19,105.37,119.83,79.89,72.34,83.63,148.3,110.13,98.68,95.89,118.75,109.92
2020/3/1,113.58,108.56,70.02,79.62,112.91,105.83,94.34,98.55,100.53,123.28,120.6,69.12,98.18,105.12,76.32,102.7,108.93,109.7,78.3,67.37,84.37,133.9,102.42,90.97,79.84,103.74,85.31
2020/3/2,115.04,120.18,111.78,95.54,116.96,98.93,112.28,104.77,104.69,118.97,119.28,67.14,100.79,114.95,93,105.51,116.12,101.61,75.4,68.05,100.19,129.45,101.12,96.6,75,103.96,98.06
2020/3/3,112.26,123.09,114.5,98.09,121.02,102.88,113.75,98.28,106.87,116.1,121.31,65.83,97.95,115.71,95.62,101.49,111.24,100.95,74.41,69.37,96.74,128.39,99.71,96.76,74.34,105.51,100.26
2020/3/4,111.17,127.58,112.99,100.52,127.75,101.65,113.85,101.41,109.26,114.82,115.18,61.44,100.36,118.14,94.23,102.39,105.67,107.91,74.41,69.48,92.28,134.24,98.62,99.5,74.13,106.1,101.5
2020/3/5,113.82,132.54,113.33,103.64,123.83,103.03,125.62,98.89,111.99,117.3,118.14,59.45,104.22,112.01,97.72,108.89,108.89,105.5,77.72,73.18,92.28,141.99,101,97.85,77.63,105.14,103.53
2020/3/6,112.67,138.6,112,103.96,127.78,115.12,142.82,109.1,121.29,127.44,132.79,57.32,109.49,115.08,111.96,122.02,108.64,110.04,85.69,81.88,94.6,160.56,108.83,100.1,104.58,114.68,111.5
2020/3/7,98.27,134.85,93.39,94.06,113.1,109.95,114.67,101.52,124.75,134.51,125.75,52,101.58,121.13,103.79,119.53,99.25,111.71,78.15,71.49,87.81,155.51,112.09,95.23,101.24,118.05,107.32
2020/3/8,97.56,114.29,68.94,78.53,107.2,97.29,100.09,96.95,95.36,115.27,118.54,46.69,106,98.03,76.99,101.4,100.97,100.39,77.24,65.74,81.4,128.11,102.58,87.16,79.21,97.76,84.23
2020/3/9,105.15,118.1,112.46,92.55,108.91,93.95,111.36,91.68,97.3,110.61,115.72,37.69,102.41,99.58,74.38,98.01,108.34,93.39,67.45,66.03,70.51,117.27,97.69,90.4,69.69,99,97.1
2020/3/10,107.82,112.37,117.22,91.11,99.73,91.14,104.23,94.49,98.7,106.74,108.21,23.02,109.49,87.15,93.47,94.36,107.31,88.36,62.03,68.47,63.44,105.2,93.21,88.38,74.16,99.54,92.48
2020/3/11,106.36,115.74,113.69,89.78,96.06,77.56,110.53,89.5,104.31,101.51,100.96,19,111.98,98.24,99.59,90.51,101.74,78.62,54.84,68.05,55.63,96.82,86.39,84.67,70.51,95.28,89.97
2020/3/12,101.22,91.05,105.24,83.35,76,48.7,84.68,76.09,92.11,91.75,79.53,13.06,110.47,75.85,96.81,77.33,101.76,56.74,47.18,68.33,57.49,68.61,76.67,73.36,75.81,86.55,79.08
2020/3/13,88.82,71.94,99.22,76.4,55.28,45.07,74.33,73.06,85.57,82.21,81.62,11.93,108.61,71.1,105.55,69.44,95.62,44.42,50.51,79.59,36.65,47.29,74.84,63.2,94.7,88.77,76.78
2020/3/14,70.96,52.67,75.46,63.75,36.99,39.65,56.95,66.01,74.08,77.72,65.19,10.96,113.41,57.03,87.97,61.84,81.77,39.74,37.9,68.72,32.65,25.78,71.74,56.69,96.71,88.31,64.59
2020/3/15,76.49,46.28,54.78,51.19,30.44,33.91,41.08,58.61,42.55,63.99,53.11,11.13,110.5,47.92,60.9,43.19,80.55,32.91,33.11,67.93,35.26,16.11,68.12,47.61,74.6,67.17,49.93
2020/3/16,70.68,44.63,71.52,50,20.11,32.69,39.19,59.47,32.84,57.93,39.8,10.88,112.5,41.96,61.03,32.44,75.95,30.71,28.6,65.47,30.98,12.85,61.39,41.84,66.51,61.47,50.79
2020/3/17,65.78,37.76,57.15,40.26,17.32,28.17,38.22,47.36,16.57,50.68,32.98,10.76,115.65,28.39,68.63,27.85,71.63,31.19,29.01,66.84,34.33,10.69,56.91,33.84,64.4,49.57,43.58
2020/3/18,62.19,27.77,45.94,35.59,15.85,25.76,34.77,44.37,13.58,46.15,27.02,10.22,118.04,20.29,58.78,24.39,67.02,29.63,25.55,65.88,30.14,10.04,55.25,32.12,59.86,43.41,39.63
2020/3/19,61.79,23,36.65,31.53,17.13,29.16,38.59,45.37,12.71,39.17,25.61,10.35,127.64,20.37,54.03,22.51,61.22,28.04,23.08,65.29,36.93,9.26,55.6,29.17,62.26,41.52,36.76
2020/3/20,57.33,21.03,29.95,30.3,16.06,27.97,39.14,43.31,12.29,33.88,24.64,10.17,131.95,18.56,49.89,22.32,56.01,30.97,19.98,68.99,34.05,9.06,56.92,26.17,84.3,37.97,35.8
2020/3/21,43.75,21.05,19.51,26.48,14.69,27.14,34.22,37.65,10.75,29.1,20.7,9.51,123.18,14.28,40.13,21.25,44.51,30.54,22.88,57.98,29.86,7.76,59.23,22.24,78.51,30.08,29.31
2020/3/22,40.71,21.57,17.04,22.26,15.1,27.42,34.82,41.99,10.31,30.14,22.78,9.23,116.13,13.31,31.55,18.55,40.1,32.88,20.46,51.17,28.84,8.05,55.55,22.54,63.32,28.1,24.84
2020/3/23,33.94,22.47,20.74,23.58,15.86,26.07,37.4,38.71,12.06,31.37,20.5,9.7,116.35,16.42,35.65,19.1,29.96,31.74,19.72,51.62,28.56,8.69,53.38,24.29,57.97,27.42,28.17
2020/3/24,30.31,22.29,18.78,21.68,17.38,26.51,37.17,39.38,12.06,31,19.33,9.29,118.84,13.65,34.12,19.48,21.63,30.74,18.16,50.2,25.12,8.69,53.34,24.12,58.1,19.49,27.91
2020/3/25,26.9,21.31,19.11,20.81,17.9,26.33,37.03,35.61,11.75,31.36,19.08,9.31,117.95,15.96,32.68,20.08,12.49,30.96,19.47,48.44,32.37,8.23,53.46,24.08,58.05,17.87,26.94
2020/3/26,26.44,21.7,20.33,19.64,16.83,27.01,32.75,36.88,11.58,31.4,17.03,8.86,109.55,12.81,31.48,20.37,12.09,31.17,20.59,48.45,34.33,8.29,53.25,23.91,60.13,16.97,27.09
2020/3/27,23.77,22.19,21.26,20.16,17.97,27.21,27.32,34.97,11.23,31.8,18.47,8.43,102.47,15.29,31.83,20.62,11.37,32.13,18.67,49.52,36.28,8.01,54.25,24.44,70.19,16.56,28.07
2020/3/28,19.57,21.64,18.17,18.09,17.74,28.69,30.27,35.76,11.07,31.88,12.48,8.59,91.71,16.8,29.4,19.38,10.56,31.12,17.92,41.9,35.35,7.16,55.07,25.05,68.55,15.38,23.83
2020/3/29,23.53,18.76,16.61,17.25,16.13,27.39,26.49,38.39,10.66,29.48,11.21,9.18,99.29,13.99,25.33,17.62,12,31.04,19.15,43.9,35.53,7.79,57.56,22.39,59.83,15.34,22.39
2020/3/30,22.58,21.45,22.27,19.58,18.04,27.76,26.77,38.45,11.96,32.39,12.6,9.5,95.23,16.55,28.12,20.2,12.31,33.88,19.7,43.79,32.93,8.15,53.14,23.59,55.2,16.85,26.51
2020/3/31,21.67,21.28,22.91,20.05,17.23,29.02,27.64,38.27,12.04,35.14,12.17,9.76,93.59,16.3,28.1,20.92,11.39,34.08,18.54,45.57,32.09,8.36,53.02,26.86,58.1,16.4,25.47
2020/4/1,21.05,20.24,23.23,19.54,18.65,28.55,30.04,36.03,11.92,33.52,11.84,9.22,92.36,14.95,27.32,20.01,12.55,33.88,17.49,44.39,33.77,7.89,54.34,26.63,68.93,16,25.24
2020/4/2,21.25,19.84,21.81,18.77,19.31,29.55,30.22,36.93,11.87,33.82,11.59,9.61,91.56,14.7,25.55,20.18,10.43,31.43,19.49,42.86,34.33,8.17,51.15,26.33,66.68,15.91,24.67
2020/4/3,18.75,21.43,21.89,18.88,17.43,28.34,29.76,36.16,11.56,32.02,11.95,8.57,91.22,12.31,25.87,20.15,10.93,31.38,18.69,42.04,32.84,7.33,51.85,27.05,59.67,15.53,25.04
