date,Australia,Belgium,Brazil,Canada,Czech Republic,Denmark,Estonia,Finland,France,Germany,Ireland,Italy,Japan,Luxembourg,Mexico,Netherlands,New Zealand,Norway,Philippines,Singapore,Slovakia,Spain,Sweden,Switzerland,Taiwan,United Kingdom,United States
2020/2/15,110.5,235.37,135.5,152.65,195.4,125.1,219.01,111.39,126.34,161.49,188.57,194.34,138.76,127.75,154.55,173.3,115.87,151,110.69,78.75,139.13,192.6,133.07,136.98,126.31,152.82,158.55
2020/2/16,103.76,135.03,97.46,125.23,140.22,81.17,154.76,79.1,74.44,98.68,142.91,144.17,119.97,82.18,107,107.28,116.79,87.75,95.59,64.12,110.51,133.31,85.68,95.29,99.66,98.69,116.26
2020/2/17,102.99,146.08,109.05,99.59,142.74,97.36,171.89,95.11,86.9,111.55,151.15,123.94,122.2,101.19,108.47,121.14,116.44,106.78,93.09,66.4,126.22,125.89,103.01,105.7,104.17,128.1,107.52
2020/2/18,107.3,156.85,115.3,114.61,142.46,107.58,167.24,103.72,95.91,115.71,151.25,131.03,122.62,104.38,105.64,123.59,119.24,108.68,96.74,66.27,133.59,129.57,109.35,114.05,108.98,130.01,100.23
2020/2/19,112.78,160.02,116.07,119.86,137.55,117.17,171.89,106.41,94.03,109.61,148.25,132.99,124.25,109.57,106.04,122.76,119.77,112.33,92.38,69.15,124.98,131.74,116.71,112,110.79,136.18,103.21
2020/2/20,116.31,163.25,121.05,127.3,141.99,120.13,189.11,100.89,99.23,121.49,158.63,142.68,127,97.53,113.14,125.42,125.97,104.2,97.79,69.64,131.81,138.1,110.84,119.18,111.2,131.67,106.25
2020/2/21,133.9,168.21,137.47,152.97,162.88,145.54,194.57,109.28,108.42,131.42,183.1,158.11,145.9,117.2,138.41,151.38,134.07,129.65,108.2,84.98,146.91,165.75,129.4,129.7,124.68,152.89,136.41
2020/2/22,113.52,189.77,171.31,155.76,183.22,123.99,169.81,103.71,120.95,149.93,187.93,181.74,163.51,115.97,155.14,162.91,126.18,142.7,102.15,78.55,132.93,191.28,117.79,142.04,122.71,169.46,162.45
2020/2/23,103.12,125.25,153.25,103.86,125.01,88.97,164.25,94.74,75.84,93.4,122.82,129.3,145.52,71.61,109.27,108.58,120.35,95.05,97.81,63.35,98.54,134.83,93.14,92.9,108.79,101.08,106.11
2020/2/24,106,145.88,137.77,109.77,138.05,100.38,146.77,102.21,88.4,114.25,112.99,107.66,121.18,102.4,103.58,109.45,120.96,99.84,94.48,63.19,127.29,130.32,102.01,114.85,92.1,104.26,99.34
2020/2/25,109.06,155.27,114.5,111.42,141.77,98.78,175.53,107.1,89.42,106.82,111.89,94.26,112.83,107.15,101.79,116.34,121.2,104.47,88.54,66.4,139.5,121.11,103.6,108.11,85.5,115.57,103.03
2020/2/26,109.52,147.4,82.66,106.92,134.97,107.83,154.53,107.46,90.61,99.85,124.55,82.94,111.53,103.06,100.35,112.23,121.24,106.49,86.74,68.18,131.45,123.93,106.05,107.05,92.59,121.26,101.84
2020/2/27,116.49,144.5,99.98,107.07,134.91,115.52,175.07,105.78,90.86,104.58,144.98,83.27,104.84,104.47,108.48,119.4,124.22,107.21,88.01,69.5,121.57,136.99,107.1,107.66,124.14,119.74,107.83
2020/2/28,135.14,159.23,109.09,135.19,155.47,147.94,188.3,116.57,106.25,123.05,176.19,92.59,112.22,128.56,132.13,141.52,126.98,127.08,106.72,85.62,123.41,170.82,123.34,124.55,139.47,138.49,136.34
2020/2/29,126.02,169.08,106.38,146.34,158.14,135.36,185.28,120.73,109.99,138.07,172.66,100.06,116.77,121.63,145.41,151.18,104.86,134.15,97.38,79.27,117.47,183.15,125.17,119.52,126.93,162.75,155.82
2020/3/1,100.94,113.57,67.92,102.32,123.3,96.3,109.68,80.62,61.23,95.72,130.99,65.47,101.49,82.5,96.7,102.77,109.21,84.6,85.61,65.92,80.57,125.56,87.04,89.31,93.01,105.44,102.29
2020/3/2,101.73,112.05,100.58,109.77,121.16,104.5,117.16,97.4,73.5,102.74,129.56,63.94,113.27,98.07,100.09,96.27,106.72,97.44,82.84,65.31,106.76,112.98,102.28,89.8,85.43,107.54,99.2
2020/3/3,101.17,129.9,107.55,117.97,109.33,106.18,115.63,99.25,83.57,103.29,144.34,70.14,103.49,108.4,101.21,106.79,106.18,99.59,81.11,65.96,109.65,114.03,103.52,100.73,85.03,114.84,104.76
2020/3/4,97.93,137.21,109.92,123.88,122.69,111.64,108.64,90.1,82.79,101.89,136.1,71.71,109.96,108.17,102.31,110.59,111.45,103.92,83.5,68.43,112.74,120.37,103.18,104.97,84.92,116.67,104.61
