,lag_0,lag_5,lag_7,lag_10,lag_14
2020/7/15,-0.337389407,-0.423633345,-0.35521916,-0.138596349,-0.221309648
2020/7/16,-0.332241683,-0.42393882,-0.355317006,-0.149926733,-0.219582386
2020/7/17,-0.332248207,-0.428697178,-0.347088002,-0.152498373,-0.220341644
2020/7/18,-0.333143884,-0.439826753,-0.352510779,-0.156503886,-0.226484307
2020/7/19,-0.346104425,-0.448356196,-0.364239894,-0.160158647,-0.240505327
2020/7/20,-0.36411095,-0.453262158,-0.376321095,-0.146958417,-0.255169103
2020/7/21,-0.367715101,-0.451600101,-0.374527192,-0.14787541,-0.256236253
2020/7/22,-0.367992666,-0.451701375,-0.3754471,-0.153751005,-0.257241364
2020/7/23,-0.374021884,-0.442211311,-0.373856392,-0.15132742,-0.257468725
2020/7/24,-0.368060818,-0.437943914,-0.378951286,-0.155562157,-0.259097454
2020/7/25,-0.380335937,-0.443361397,-0.385343159,-0.164335293,-0.264817874
2020/7/26,-0.386159128,-0.451673648,-0.39180431,-0.175797382,-0.272270081
2020/7/27,-0.39240892,-0.45488342,-0.390137595,-0.17890032,-0.27144119
2020/7/28,-0.391509474,-0.451991027,-0.385703215,-0.174483903,-0.267457522
2020/7/29,-0.391607385,-0.436088441,-0.387992219,-0.16721063,-0.26354719
2020/7/30,-0.391213604,-0.396622811,-0.41104866,-0.152568775,-0.272238143
2020/7/31,-0.394002263,-0.376916872,-0.364887339,-0.15610236,-0.283911601
2020/8/1,-0.386118097,-0.360365502,-0.301429503,-0.182024015,-0.300557406
2020/8/2,-0.380369728,-0.387680935,-0.290936797,-0.226385843,-0.303809178
2020/8/3,-0.367115692,-0.391093871,-0.262979267,-0.163081723,-0.282235617
2020/8/4,-0.370800375,-0.392797973,-0.268045573,-0.144216708,-0.288630172
2020/8/5,-0.376409984,-0.366318282,-0.259413622,-0.109384854,-0.290925533
2020/8/6,-0.366942629,-0.335181262,-0.24784595,-0.062085792,-0.309612467
2020/8/7,-0.359561543,-0.30180862,-0.205330901,-0.049078864,-0.196233971
2020/8/8,-0.346634908,-0.291418602,-0.18897215,-0.04583974,-0.069068272
2020/8/9,-0.330759518,-0.2992283,-0.169622776,-0.042616912,-0.031377237
2020/8/10,-0.33504402,-0.284284252,-0.188570755,0.005178023,0.040791486
2020/8/11,-0.296803278,-0.247932976,-0.146686934,0.060378222,0.070220893
2020/8/12,-0.257968784,-0.220097603,-0.113100308,0.082325759,0.099504007
2020/8/13,-0.20793277,-0.167145083,-0.085219239,0.003760804,0.121987389
2020/8/14,-0.150474348,-0.127207832,-0.06466232,0.034745842,0.176312816
2020/8/15,-0.051960708,-0.09975509,-0.030084372,0.053785028,0.216899677
2020/8/16,0.010401111,-0.036096358,-0.013182754,0.064169849,0.240026318
